상품코드,브랜드명,상품명,카테고리,가격,성별,리뷰내용,옵션,키,몸무게,배송,포장,사이즈,밝기,색감,두께감,보온성,무게감,발색력,지속력,수분감,수납공간
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,적당한 두께 착용시 편안함에 몇장더 구매 하고 싶네요.,01. 화이트/블랙/3XL,187,96,-,-,보통이에요,보통이에요,선명해요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,면두께 좋으며 건조기 돌려도 줄어듬 없습니다세탁후 모습입니다.,02. 화이트/화이트/3XL,174,100,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",여,"레이어드용은 아니지만 레이어드해서 입으려고 샀어요! 저랑 스펙 비슷하시면 딱 괜찮은 것 같습니당. 탄탄하고 좋아요 가성비 짱,, 오버핏이 아니라 통이 많이 크지는 않아요",02. 화이트/화이트/M,166,46,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,레이어드 티로도 입고 이렇게 편하게 나갈때 입어요 가성비도 짱!!,02. 화이트/화이트/M,173,57,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",여,상품을 사기 전에 후기를 많이 보고 샀습니다평을 보면 목이 잘 안 늘어나고 질이 좋다 같은 후기가 많았는데 막상 구매해서 입고 다니니까 목 늘어남도 있긴 있고 질은 보통인 것 같아요생각했던 것보다 목은 금방 널널해졌어요,01. 화이트/블랙/S,168,45,-,-,커요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,편하게 잘 입고 있습니다 이너로 이만한 게 없네요,03. 블랙/블랙/L,184,78,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,베이직이라 단품으로 걸쳐도 낫밷이고 아우터 이너로도 제격입니도,01. 화이트/블랙/XL,177,73,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,최곱니다 가격대도 싸지만 오래입을수있어요올,01. 화이트/블랙/L,179,70,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,무신사 최고 피부로 느껴지는 원단감이 좋은편이네요 무신사 한번사 두번사 세번사,01. 화이트/블랙/L,163,58,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,탄탄하구 그리 두껍지도 않아서 여름에 입기 좋아요 팔 걷어서 입으면 더 예뻐요,01. 화이트/블랙/XL,180,69,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
