상품코드,브랜드명,상품명,카테고리,가격,성별,리뷰내용,옵션,키,몸무게,배송,포장,사이즈,밝기,색감,두께감,보온성,무게감,발색력,지속력,수분감,수납공간
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,무탠다드 바지는 믿고 사도됩니다..일단 가격이 너무 저렴해요. 그래서 고민안하고 살수있고 안어울리거나 안맞아도 부담이 적어요. 코듀로이 바지가 입고싶어서 무탠다드로 구매했는데 너무 만족합니다. 모든 바지27입는데 요것도 27하니까 딱좋아요.기장은 좀 긴데 이렇게입어야 와이드하게 신발덮고 딱 좋네요. 안에 내복입지않아도 괜찮은 두께감입니다촉감은 보들보들하고 좋네요. 골지도 적당히 파여서 부담스럽지않아요.미니멀 질리신 분들은 이렇게 소재변화로 포인트 주는게 가장이쁜것 같네요. 겨울이라 시각적으로도 따듯해보여서 겨울바지로 매우 좋습니다.,27,171,52,-,-,보통이에요,보통이에요,선명해요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,바지 활용도가 깡패입니다 맨투맨 후드 셔츠 다 잘 어울려요,33,183,83,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",-,제 키엔 조금 길었어요 핏은 그냥 일자와이드느낌 그리고 생각만큼 두껍지 않아요,26,0,0,-,-,보통이에요,밝아요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,예전부터 구매하려 했지만 계속 품절이여서 힘들게 구매했네용 기본템은 무탠다드라서 믿고 샀는데 역시더라구요 핏도 이쁘고 색감도 좋아서 만족하고 있어요,29,175,70,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",여,골덴바지 좋아해서 찾아보다가 너무 예뻐서 바로 구매했어요 ! 색감도 너무 예쁘고 핏도 예쁩니다,26,165,50,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,크림색 사고 너무 딱잘맞아서 하나더 샀습니당색깔별로 구매하고 싶네여~!!,29,173,63,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",-,두껍지는 않지만 딱 원하는 핏감으로 나오네요가성비 코듀로이 요만한거 없습니다 달리세여,30,0,0,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,밑단이 좀길긴한데 접어서 입으면 괜찮고 색자체가 이뻐서 좋음,30,173,63,-,-,커요,보통이에요,선명해요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,가성비 코듀로이 바지로 최고에요 다른 색도 사고싶어요,31,181,75,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,편하고 따뜻합니다. 색감도 너무 이쁘게 잘 나왔어요,28,170,64,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,보들보들 하고 피도 와이드로 편안하게 떨어져서 만족해요 할인받음 3만원대인데 가성비 최곱니다,33,181,85,-,-,보통이에요,밝아요,선명해요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,남친도 사고 같이 샀어요 따뜻해보이고 좋아요 굿,29,166,49,-,-,커요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,핏이 예쁩니다 기장은 좀 더 길었으면 좋겠네요색감도 괜찮습니다,29,175,60,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,"가을 바지로 제격 입니다. 통이 크게 나와서 너무 좋네요. 앞으로도 와이드한 바지, 출시 자주 부탁드립니다. ^^",38,178,95,-,-,커요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,"핏더형이 입은 것 보니 이뻐서 샀는데, 내가 입으니까 말 안된다잉~~!!",30,180,77,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",-,원단도 좋고 바지가 너무 이쁘네요.코듀로이 사고 싶었는데 세일할때 저렴하게 득템했습니다,31,0,0,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,원래 31 입는데 업사이징 한게 맘에들어 교환했어요 가성비 굿,33,179,72,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,생각보다 맘에 들어요. 무탠다드는 실패가 없는거 같네요. 허리33했는데 딱 좋아요. 기장은 길게는 못입지만 접어입는거 좋아해서 잘 맞네요189cm입니다,33,189,79,-,-,커요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,오래 전부터 재입고 기다렸는데 마음에 들어요 ! 허리는 크게 나온 거 같아서 한 사이즈 다운했는데 괜찮네요,26,160,54,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,바지 통이랑 허리 사이즈는 딱 좋았으나 기장감이 살짝 아쉬워요 ㅜㅜ 그렇다고 사이즈 업하면 전체적으로 사이즈가 커지니 그래도 색감이랑 원단 핏은 너무 마음에 듭니다!,31,182,74,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,정말 와이드하게 나와서 좋고 꾸안꾸 연출할수있어서 좋아요!,29,170,66,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",-,와이드하게 잘 맞습니다원래 28~29 입는데 일부러 크게 샀어요,30,0,0,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",-,너무 좋습니다. 취향에 맞게 접어 입으면 될거같아요,26,0,0,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,나쁘지 않아요 길이가 조금 더 길면 좋았을 것 같아요,30,178,80,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,핏이 괜찮은데 통이 조금만 작았으면 좋겠네요그래도 가성비괜찮아요,31,176,65,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,정사이즈로 주문하시면 와이드한 핏으로 매우손이가는 편한 바지입니다.,31,177,70,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,색깔도 너무 예쁘고 가을 겨울에 부드럽고 따뜻하게 입을거 같아요,31,180,77,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,일부 실밥이 나와있는 부분은 있으나 가격을 생각하면 전혀 걸림돌이 되지 않습니다.색감도 사진과같이 밝은 베이지 색감입니다.제 키 기준으로 수선 없이 바로 입을 수 있습니다.와이드핏이라 활동성이 좋아 만족합니다.,30,178,72,-,-,보통이에요,밝아요,선명해요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,코듀로이 팬츠 꽃혀서 찾다가 구매했는데 너무 마음에 드네요 허리는 조금 작은데 핏이나 퀄리티가 딱 좋아요😃,31,181,88,-,-,보통이에요,어두워요,선명해요,보통이에요,-,-,-,-,-,-
