상품코드,브랜드명,상품명,가격,성별,리뷰내용,옵션,키,몸무게,배송,포장,사이즈,밝기,색감,두께감,보온성,무게감,발색력,지속력,수분감,수납공간
3300009,LENIC&MCCOY,르니 골드 브로치 글렌 체크 린넨 반팔 자켓 MK06JK211HJY,"269,900",여,여름에 차려입기 좋은 아우터입니다! 퍼프모양이라서 두꺼운 어깨 커버 가능이요!ㅋㅋ,GREEN/ONE SIZE,166,65,빨라요,꼼꼼해요,보통이에요,보통이에요,선명해요,얇아요,-,-,-,-,-,-
3300013,AVANDRESS,[패키지] 이안 버튼 카라 반팔 니트 & 플랙스 라운드 니트 반팔,"102,000",남,카라로 되어있는 니트반팔티를 사고싶었는데 싸고 이쁘고 핏감도 괜찮아서 좋았습니다! 단 니플패치 챙기세요,"이안 아이보리/2(95~100)
                                    
                                        , 플랙스 반다이크브라운 2",173,68,빨라요,꼼꼼해요,보통이에요,밝아요,보통이에요,얇아요,-,-,-,-,-,-
3300013,AVANDRESS,[패키지] 이안 버튼 카라 반팔 니트 & 플랙스 라운드 니트 반팔,"102,000",-,할인해서 어반드레스 제품 처음 구매 해봤는데좋아요!,"이안 반다이크브라운/2(95~100)
                                    
                                        , 플랙스 블랙 2",0,0,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3300013,AVANDRESS,[패키지] 이안 버튼 카라 반팔 니트 & 플랙스 라운드 니트 반팔,"102,000",남,여자친구가 차은우 같대요휘뚜루마뚜루 입기 좋습니다,"이안 그린/2(95~100)
                                    
                                        , 플랙스 베이지 2",185,85,빨라요,꼼꼼해요,보통이에요,보통이에요,선명해요,보통이에요,-,-,-,-,-,-
3300013,AVANDRESS,[패키지] 이안 버튼 카라 반팔 니트 & 플랙스 라운드 니트 반팔,"102,000",남,할인해서 어반드레스 제품 처음 구매 해봤는데좋아요!,"이안 반다이크브라운/2(95~100)
                                    
                                        , 플랙스 블랙 2",170,63,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3300013,AVANDRESS,[패키지] 이안 버튼 카라 반팔 니트 & 플랙스 라운드 니트 반팔,"102,000",남,아무때나 입기 좋아요저같은 패션고자들에게 추천합니다,"이안 그린/2(95~100)
                                    
                                        , 플랙스 베이지 2",185,85,빨라요,꼼꼼해요,보통이에요,보통이에요,선명해요,보통이에요,-,-,-,-,-,-
3300013,AVANDRESS,[패키지] 이안 버튼 카라 반팔 니트 & 플랙스 라운드 니트 반팔,"102,000",남,라운드랑 단추 두개 샀는데 단추가 더 이쁜 것 같습니다. 흰색에 검은 단추여서 이뿌네용 재질도 좋은 것 같고 싸게싸게 입기 좋습니다 재구매 의사도 있습니다!,"이안 아이보리/2(95~100)
                                    
                                        , 플랙스 반다이크브라운 2",171,65,빨라요,꼼꼼해요,보통이에요,밝아요,선명해요,보통이에요,-,-,-,-,-,-
3300013,AVANDRESS,[패키지] 이안 버튼 카라 반팔 니트 & 플랙스 라운드 니트 반팔,"102,000",남,할인해서 어반드레스 제품 처음 구매 해봤는데좋아요!,"이안 반다이크브라운/2(95~100)
                                    
                                        , 플랙스 블랙 2",170,63,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3300013,AVANDRESS,[패키지] 이안 버튼 카라 반팔 니트 & 플랙스 라운드 니트 반팔,"102,000",남,색감도 이쁘고 면도 보들보들해서 맨살에 입기 좋아요 !!,"이안 올리브그린/2(95~100)
                                    
                                        , 플랙스 화이트 2",174,70,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3300013,AVANDRESS,[패키지] 이안 버튼 카라 반팔 니트 & 플랙스 라운드 니트 반팔,"102,000",남,지금 일주일에 한번씩입는중 색도이쁘고 딱좋은거같습니다 9월까진 입을듯,"이안 그린/2(95~100)
                                    
                                        , 플랙스 베리페리 2",174,74,빨라요,아쉬워요,보통이에요,밝아요,선명해요,보통이에요,-,-,-,-,-,-
3300013,AVANDRESS,[패키지] 이안 버튼 카라 반팔 니트 & 플랙스 라운드 니트 반팔,"102,000",남,합리적인 가격에 마음에 드는 디자인입니다빠르게 받아서 더욱 좋았고요 다른 색상도 구매 의사 있습니다,"이안 아이보리/2(95~100)
                                    
                                        , 플랙스 화이트 2",170,75,빨라요,꼼꼼해요,보통이에요,밝아요,선명해요,보통이에요,-,-,-,-,-,-
3300013,AVANDRESS,[패키지] 이안 버튼 카라 반팔 니트 & 플랙스 라운드 니트 반팔,"102,000",-,합리적인 가격으로 좋은제품 빠르게 받아 기분좋습니다.,"이안 클래식블루/3(100~105)
                                    
                                        , 플랙스 반다이크브라운 3",0,0,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3300013,AVANDRESS,[패키지] 이안 버튼 카라 반팔 니트 & 플랙스 라운드 니트 반팔,"102,000",남,저렴한 가격에 예쁜 옷 잘 삿습니다돌려입기 좋네요,"이안 그린/2(95~100)
                                    
                                        , 플랙스 베이지 2",185,85,빨라요,꼼꼼해요,보통이에요,보통이에요,선명해요,보통이에요,-,-,-,-,-,-
3300016,ALVINCLO,2XL~4XL 빅사이즈 야자수 SOUL SURFER 오버핏 반팔티 BE54872 (3 COLOR),"32,900",-,친구한테 선물로 줬는데 좋아하네요 잘입을게요,크림/2(3XL~4XL),0,0,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3300016,ALVINCLO,2XL~4XL 빅사이즈 야자수 SOUL SURFER 오버핏 반팔티 BE54872 (3 COLOR),"32,900",남,생각보다 크고티셔츠는 예쁘네요.한장 더 구매해둘까 고민ㅎ,블랙/2(3XL~4XL),177,95,빨라요,꼼꼼해요,커요,밝아요,선명해요,보통이에요,-,-,-,-,-,-
3300021,diadora,에르미나 테니스 플리츠 스커트 GREEN,"129,000",여,"화이트 구매해서 잘 입고 있어서, 초록색도 구매해요. 움직일때 편하고 일단 색이 이뻐요.",XS75,159,52,빨라요,꼼꼼해요,보통이에요,보통이에요,선명해요,-,-,-,-,-,-,-
3300021,diadora,에르미나 테니스 플리츠 스커트 GREEN,"129,000",-,"배송도 빠르게 오는 편이고,상품도 좋습니다. 감사합니다.",M85,0,0,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-,-
3300021,diadora,에르미나 테니스 플리츠 스커트 GREEN,"129,000",-,배송이 빨라서 놀랐어요 추천합니다. 오랜 기간 사용해봤는데도 만족하고 있습니다.,M85,0,0,아쉬워요,아쉬워요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-,-
3300021,diadora,에르미나 테니스 플리츠 스커트 GREEN,"129,000",여,일단 S는 작고 M은 넉넉하게 나왔네요. 허리부븐이 좀 큰거 같아요. 근데 디자인이이쁘고 색감이 좋아서 잘 입어질 듯 합니다.,M85,161,58,빨라요,꼼꼼해요,커요,보통이에요,보통이에요,-,-,-,-,-,-,-
3300026,UFC SPORT,UFC 액티브 슬림핏 래쉬가드 (W) 블랙 U4LSU2204BK,"89,000",여,XS 사이즈도 사알짝 낙낙하게 크긴 했지만 몸에 맞는 레쉬가드 얻게 돼서 기뻐요. 잘 입고 다닐게요 !,XS,163,49,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
