상품코드,브랜드명,상품명,가격,성별,리뷰내용,옵션,키,몸무게,배송,포장,사이즈,밝기,색감,두께감,보온성,무게감,발색력,지속력,수분감,수납공간
3000006,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 블랙,"77,000",여,바지 사이즈 좋고 허리 쪼이지않아서 좋네요. 여름에 에어컨땜에 추운데 입기 딱좋아요. 추천합니다.,1,160,48,빨라요,꼼꼼해요,커요,어두워요,선명해요,얇아요,-,-,-,-,-,-
3000006,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 블랙,"77,000",-,사진은 실물보다 흐리게 나왔어요 요즘 교복템입다 여름에 입기 좋은 두께감이에요,1,0,0,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
3000006,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 블랙,"77,000",여,디자인 너무 예쁘고 핏도 나쁘지 않은데 바지 재질이 진짜... *이블리 1세일해서 9800원에 파는 조거 팬츠 같아요 보풀 엄청 생길 것 같음 ㅠㅠ 얇아서 시원은 하겠는데 ... 너무 예쁜데 재질 때문에 4만원 주기도 아까워요 🥹 디자인 예뻐서 봐줌... 168 이상이 입으면 조금 애매해지는 핏이에요 사이즈 1업 추천합니다  🙇‍♀️,2,169,59,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
3000006,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 블랙,"77,000",여,조거 부분이 조금 널널해서 너무 만족했어요 제 혈육도 입어보더니 이쁘다고 사야겠다하네여 뿌듯 봄 여름에 잘 입을 거 같아요,1,159,49,빨라요,꼼꼼해요,보통이에요,어두워요,선명해요,얇아요,-,-,-,-,-,-
3000006,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 블랙,"77,000",여,1이랑 2 중간 사이즈 없는게 아쉬워요 ㅠ 좀 길게 입고 싶은데 1은 살짝 짧은 느낌 글고 여름바지라 무릎이 금방 나와요 근데 디자인 힙해서 자주 입음 허리도 조이지 않아서 좋아요,1,163,55,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000006,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 블랙,"77,000",여,솔직히 후기도 별로 없어서 걱정했고 근데 또 뭔가 흔하지 않아서 한번 시켜보자라는 마인드로 시켰는데 기대치가 높지않아서 그런가 나름 괜찮았어요 ! 간지도 나고 힙녀 된 느뀜 근데 누가 한번 열어본건지 처음 배송 왔을 때 먼지가 많이 묻어있었고 다른 분들께 배송 보내줄 때 주의해주셨음 좋겠어요 !,1,162,48,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
3000006,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 블랙,"77,000",여,재질 보들보들 얇아요 여름에 입기 딱좋고 제 키에는 배꼽 밑으로 내려 입으면 딱 발등 덮고 예쁘더라구요 기장도 폭도 너무 맘에 들어요!,2,168,60,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
3000006,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 블랙,"77,000",여,핏이 좋아요 많이 파세요 수고하세요 이뻐요! !! 이뻐요,2,162,55,빨라요,꼼꼼해요,보통이에요,어두워요,선명해요,두꺼워요,-,-,-,-,-,-
3000006,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 블랙,"77,000",여,딱 봄 여름용 바지!! 필요했는데 너무 잘 산 거 같아요 조거가 너무 알잘딱ㅋㅋ 너무 짱짱한 조거 안 좋아하는데 조금 널널해거 좋슴당 나중에 다른 바지도 사야게써요,1,159,49,빨라요,꼼꼼해요,보통이에요,어두워요,선명해요,얇아요,-,-,-,-,-,-
